validation_id,source_step,dataset_scope,dataset_label,seed_id,distribution_id,distribution_label,weighting_interpretation,decision_id,decision_label,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,T1_capacity_binding,T2_capacity_binding,T3_capacity_binding,T4_capacity_binding,capacity_binding_count,sample_count,c_H2_yuan_per_kg,production_cost_yuan,M_H2_yuan_per_kg,mean_shortage_kg,shortage_q95_kg,shortage_q99_kg,shortage_q995_kg,shortage_CVaR95_kg,shortage_CVaR99_kg,shortage_CVaR995_kg,maximum_shortage_kg,mean_EENS_kWh,EENS_q95_kWh,EENS_q99_kWh,EENS_q995_kWh,EENS_CVaR95_kWh,EENS_CVaR99_kWh,EENS_CVaR995_kWh,maximum_EENS_kWh,mean_unserved_cost_yuan,mean_economic_total_yuan,mean_electricity_service_rate,zero_shortage_service_share,mean_secondary_service_distance,primary_runtime_sec,secondary_runtime_sec,maximum_mechanical_residual,solver_status,validation_pass,TerminalLOH_total_kg_change_vs_SAA,production_cost_yuan_change_vs_SAA,mean_shortage_kg_change_vs_SAA,mean_EENS_kWh_change_vs_SAA,mean_economic_total_yuan_change_vs_SAA,mean_electricity_service_rate_change_vs_SAA,shortage_q95_kg_change_vs_SAA,shortage_q99_kg_change_vs_SAA,shortage_q995_kg_change_vs_SAA,shortage_CVaR95_kg_change_vs_SAA,shortage_CVaR99_kg_change_vs_SAA,shortage_CVaR995_kg_change_vs_SAA,maximum_shortage_kg_change_vs_SAA
5,C3,markov-perturbation,seed001-combined-medium,1,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,17.0361217939976,111.556610206475,234.84166598478,272.209039085727,186.338934099196,282.001107997615,310.88276291744,411.586613206775,312.297666666667,2045,4305,4990,3415.87217043941,5169.50331125828,5698.94736842105,7545,21860.8366666667,38492.7446127057,0.960546761043112,0.7558,1167.92480455145,6.8064276,8.509135,6.82121026329696e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,C3,markov-perturbation,seed001-combined-medium,1,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,2,ETA_0.0003,0.0003,223.658693606249,121.102597522249,36.5493148952035,135.832334729837,517.142940753538,0,0,0,0,0,15000,32.5213675213675,16818.1956373266,1283.205,16.7632968577378,110.192837465565,234.568911436598,270.845266344816,185.241299778242,281.524205931061,310.351569809308,411.586613206775,307.296376347621,2020,4300,4965,3395.75088688483,5160.76098102525,5689.20980195932,7545,21510.7463443335,38328.9419816601,0.961036075805757,0.756133333333333,1172.06399529302,6.0928212,10.3850892,2.8421709430404e-13,OPTIMAL,1,5.72816291211802,186.2876912873,-0.272824936259802,-5.00129031904601,-163.802631045597,0.000489314762645021,-1.36377274090999,-0.272754548182007,-1.36377274091097,-1.097634320954,-0.476902066554032,-0.531193108132015,0
5,C3,markov-perturbation,seed001-combined-medium,1,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,3,ETA_0.001,0.001,223.659164599841,121.377845308717,36.5502981876255,137.467568714779,519.054876810962,0,0,0,0,0,15000,32.5213675213675,16880.3744125275,1283.205,16.6746474140517,110.192837465565,234.568911436598,270.845266344816,184.882029818513,281.413634890718,310.21839886093,411.586613206775,305.67129907069,2020,4300,4965,3389.16492961807,5158.7340479992,5686.76857871914,7545,21396.9909349484,38277.3653474745,0.96119420010894,0.757,1173.3991291408,6.2268159,7.8117553,1.98951966012828e-13,OPTIMAL,1,7.64009896954201,248.4664664882,-0.3614743799459,-6.626367595977,-215.379265231197,0.000647439065827982,-1.36377274090999,-0.272754548182007,-1.36377274091097,-1.45690428068301,-0.587473106896994,-0.66436405651001,0
5,C3,markov-perturbation,seed001-combined-medium,1,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,4,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,16.36409976129,108.560169134824,234.023402340234,270.02700270027,183.504946750596,280.33516146145,309.105746299555,411.586613206775,299.978494774088,1990.07074049502,4290,4950,3363.92093135854,5133.37872277576,5666.37198829029,7545,20998.4946341861,38109.4016084562,0.961763953029447,0.757333333333333,1176.35339277391,5.8994147,7.0528962,3.41060513164848e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.672022032707602,-12.319171892579,-383.343004249495,0.00121719198633496,-2.99644107165101,-0.818263644546022,-2.18203638545702,-2.8339873486,-1.66594653616499,-1.77701661788501,0
5,C3,markov-perturbation,seed001-combined-medium,1,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,5,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,16.0894813203113,104.965563353529,234.023402340234,269.799080448628,182.335830228173,279.645926807311,308.374105177492,411.586613206775,294.944326823287,1924.17622461521,4290,4945.82184324403,3342.48927182776,5126.32930726823,5652.95990906119,7545,20646.1028776301,37969.8977856575,0.962259335457762,0.758466666666667,1179.67438691074,5.9376483,7.2445049,2.55795384873636e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.946640473686301,-17.35333984338,-522.846827048197,0.00171257441465,-6.59104685294599,-0.818263644546022,-2.40995863709901,-4.003103871023,-2.35518119030399,-2.50865773994798,0
5,C3,markov-perturbation,seed001-combined-medium,1,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,6,ETA_0.03,0.03,231.29762160439,121.918688071569,50.0952850712816,139.650041539934,542.961636287175,0,0,0,0,0,15000,32.5213675213675,17657.8549236983,1283.205,15.7198419430013,103.468120521061,231.841365954777,268.935984507542,180.55697618757,278.48926469539,307.377831035354,411.586613206775,288.168282578128,1896.72585133183,4250,4930,3309.88020898245,5105.12595576355,5634.69670962459,7545,20171.779780469,37829.6347041653,0.9629223008292,0.763466666666667,1184.58643750516,5.7893002,8.2276964,2.55795384873636e-13,OPTIMAL,1,31.546858445755,1025.946977659,-1.3162798509963,-24.129384088539,-663.109908540398,0.00237553978608807,-8.088489685414,-3.00030003000302,-3.273054578185,-5.78195791162599,-3.51184330222503,-3.504931882086,0
6,C3,markov-perturbation,seed002-combined-medium,2,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,16.0257662129849,103.646728309195,217.385374901127,254.479993453891,172.750600323318,263.737391198482,292.690752328821,414.85966778496,293.776333333333,1900.00000000001,3985.00000000002,4665,3166.7776298269,4834.70198675497,5365.46052631579,7605,20564.3433333333,37196.2512793719,0.962484810509219,0.758466666666667,1183.80422321278,5.8553789,7.5853394,6.82121026329696e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C3,markov-perturbation,seed002-combined-medium,2,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,2,ETA_0.0003,0.0003,223.658693606249,121.102597522249,36.5493148952035,135.832334729837,517.142940753538,0,0,0,0,0,15000,32.5213675213675,16818.1956373266,1283.205,15.7538146803942,102.828352703157,216.56711125658,253.934700789323,171.544006228078,263.320095871208,292.163136844771,414.313953249793,288.791053813647,1884.99794757793,3970,4655.00396751947,3144.65895017001,4827.05233746304,5355.78854306991,7594.99623399858,20215.3737669553,37033.5694042823,0.962968690257011,0.7592,1187.77448629675,7.8781324,9.0759743,2.27373675443232e-13,OPTIMAL,1,5.72816291211802,186.2876912873,-0.271951532590702,-4.985279519686,-162.681875089598,0.000483879747792071,-0.818375606038003,-0.818263644546988,-0.545292664568024,-1.20659409524001,-0.417295327273962,-0.527615484050045,-0.545714535167008
6,C3,markov-perturbation,seed002-combined-medium,2,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,3,ETA_0.001,0.001,223.659164599841,121.377845308717,36.5502981876255,137.467568714779,519.054876810962,0,0,0,0,0,15000,32.5213675213675,16880.3744125275,1283.205,15.6664518105081,100.917399938156,216.56711125658,253.658469710433,171.172324973508,263.251092504059,292.080101587803,414.312969957371,287.18956136433,1849.9673169663,3970,4649.9402374968,3137.84547525186,4825.78740223816,5354.2663822568,7594.97820877355,20103.2692955032,36983.6437080289,0.963122731340886,0.7598,1189.03315750053,6.1727368,6.2907686,2.27373675443232e-13,OPTIMAL,1,7.64009896954201,248.4664664882,-0.359314402476802,-6.586771969003,-212.607571342996,0.000637920831667027,-2.729328371039,-0.818263644546988,-0.821523743458016,-1.57827534980999,-0.486298694422999,-0.610650741018048,-0.546697827588957
6,C3,markov-perturbation,seed002-combined-medium,2,6,combined-medium,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,4,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,15.3514321579246,99.009900990099,216.56711125658,252.566850217258,169.408673248646,262.008546259237,290.389902736568,409.400715421961,281.414778602996,1815,3970,4629.92921475767,3105.51509365756,4803.00966575121,5323.28250201539,7504.92921475767,19699.0345022097,36809.9414764802,0.963695850913734,0.760266666666667,1191.67168797355,5.2674585,7.3718887,1.56319401867222e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.674334055060301,-12.361554730337,-386.309802891701,0.00121104040451503,-4.636827319096,-0.818263644546988,-1.913143236633,-3.34192707467199,-1.72884493924499,-2.30084959225303,-5.45895236299896
